name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,age,education_level,marital_status
Jill Anderson,Davidmouth,42899,351,12009,36,30.0,False,59,Associate,Widowed
Nathaniel Crawford,Vegaburgh,37944,662,15071,11,45.0,False,66,Associate,Divorced
Jeremy Hernandez,Lake Kenneth,82772,721,37089,30,65.0,True,34,Doctorate,Divorced
Douglas Taylor,Lake Nicole,125448,838,17328,40,95.0,True,28,High School,Married
Kimberly Smith MD,Timothyfort,74473,652,38070,32,50.0,False,58,Associate,Married
Devin Johnson,North Paula,134935,587,4839,30,75.0,True,23,Doctorate,Married
Pamela Key,North John,142941,546,18467,34,55.0,False,39,High School,Divorced
Sylvia Brown,New Meghan,44322,697,24252,11,50.0,False,69,Doctorate,Divorced
Kevin Drake,Robintown,62591,660,38201,36,50.0,False,69,Bachelor,Divorced
Travis Copeland,Weaverburgh,55112,802,3487,5,85.0,True,40,Bachelor,Single
Kyle Smith,Smithborough,54931,433,23331,11,35.0,False,44,High School,Single
Sarah Morris,East Brendaberg,100292,413,35491,23,50.0,False,38,Bachelor,Married
Jacqueline Mcmahon,Willismouth,88800,609,22142,8,60.0,True,64,Bachelor,Single
Morgan Kim,Banksburgh,48373,665,15630,37,45.0,False,28,Master,Married
Jamie Gross,Davidtown,85296,700,38190,2,55.0,False,41,Bachelor,Single
Evan Lamb,Lake Ariana,54050,808,10217,21,85.0,True,45,Bachelor,Single
Cynthia Haas,Lake Nicole,66509,390,47462,40,35.0,False,40,Associate,Married
Gabriela Smith,East Heather,90637,658,17820,6,60.0,True,34,High School,Married
Amber Kim,Costachester,62742,804,25819,22,75.0,True,45,Bachelor,Divorced
Ashley Mendoza,East Shannon,144620,334,20327,1,40.0,False,32,Associate,Divorced
Trevor Jones,South Eugene,39880,376,36851,5,20.0,False,52,Doctorate,Single
William Barry,South Sherriburgh,88082,744,11295,3,75.0,True,43,Master,Married
Daniel Lee,Donnaport,135909,543,7285,3,50.0,False,26,High School,Widowed
Joshua Henry,West Adamland,142898,601,44386,40,65.0,True,65,Bachelor,Widowed
Christina Johnson,Lake Kelly,142193,383,32035,7,50.0,False,57,Associate,Married
James Burns,Christopherside,102132,696,13116,23,80.0,True,22,Associate,Single
Jaclyn Griffin,Scottview,42833,531,18600,36,25.0,False,45,Bachelor,Married
Paul Contreras,Lake Mauriceside,36630,723,39648,14,50.0,False,59,Associate,Married
Sara Cardenas,Sheppardfort,115477,541,32212,19,50.0,False,45,High School,Single
Steven Klein,North Stacy,100855,759,12329,10,90.0,True,23,Bachelor,Divorced
Rhonda Martinez,Millerchester,139579,506,42105,9,45.0,False,42,Master,Single
Deanna Bartlett,North Paulfurt,31934,633,19101,33,40.0,False,26,Bachelor,Married
Shane Buchanan,Rodriguezberg,42224,451,38132,37,25.0,False,66,Associate,Married
Traci Garcia,New Kimberlyport,128771,848,23535,26,95.0,True,30,High School,Single
Matthew Armstrong,Johnsonview,141240,712,10427,39,85.0,True,53,High School,Single
Melissa Williams,Hannahton,60982,786,18601,23,75.0,True,56,High School,Married
Robert Turner,Meganville,51798,533,9807,19,45.0,False,64,Master,Married
Jessica Petersen,Jessicaland,83269,492,29948,13,45.0,False,56,Bachelor,Married
Jennifer Washington,Lorihaven,93653,462,5300,19,55.0,False,31,Master,Married
Jennifer Deleon,East Jamesborough,93092,359,17350,2,40.0,False,53,Bachelor,Divorced
Thomas Bush,Michealmouth,58016,817,27014,40,75.0,True,39,High School,Married
Melanie Allen,Wheelerburgh,143331,785,39461,35,85.0,True,50,Bachelor,Single
Christopher Kline,West Anthonyton,82565,466,38503,13,40.0,False,45,High School,Married
Maria Byrd,Denisehaven,148284,320,45708,0,35.0,False,56,Master,Married
Carlos Thompson,East Johnnyport,37685,581,28774,24,40.0,False,25,Associate,Single
Judy Robinson,Ericafurt,51579,404,1481,32,50.0,False,29,Master,Divorced
Dr. Sara Hoffman DDS,Kennethville,79672,793,5183,21,90.0,True,27,Bachelor,Married
Margaret Hensley MD,Jacobhaven,30282,546,4720,38,35.0,False,60,Doctorate,Single
Francisco Taylor,Lake Tylerport,81173,565,28431,25,45.0,False,43,High School,Single
Andrew Erickson,West Jessica,64760,527,45978,34,35.0,False,58,High School,Divorced
Karen Shepard,Williamburgh,132769,485,20253,6,50.0,False,57,High School,Single
Patrick Hardy,Lake Rachel,132908,391,15565,22,55.0,False,36,Associate,Single
Seth Fisher,Nathanshire,89638,601,31393,7,55.0,False,60,High School,Divorced
Sean Silva,South Pamelahaven,67388,422,45610,24,35.0,False,31,Doctorate,Married
Jennifer Pitts,East Victoria,85444,650,27816,36,60.0,True,33,High School,Divorced
Victoria Thomas,Port Christopher,121303,640,42355,11,65.0,True,30,High School,Married
Anthony Hayes,Port Kim,125748,462,33084,5,45.0,False,37,Bachelor,Single
Jeffrey Jordan,Sanfordfurt,132676,304,3472,34,60.0,True,38,High School,Married
Jake Smith,Katherinehaven,102845,495,2174,0,45.0,False,55,High School,Single
Danielle Steele,Larryville,116752,692,33986,37,75.0,True,50,Bachelor,Married
Austin Williams,Stephenhaven,124163,836,23140,27,95.0,True,28,Bachelor,Single
Whitney Cooper,Howardborough,93788,468,27436,1,30.0,False,61,High School,Married
Nicholas Anderson,New Williamville,50289,675,47603,2,50.0,False,64,Bachelor,Married
Martin Wise,New Virginiaville,54890,320,4161,7,45.0,False,23,High School,Married
James Kelley,Milesborough,68890,309,20733,26,40.0,False,47,Bachelor,Single
Mary Nelson,South Maria,58534,407,34527,39,35.0,False,67,Master,Single
Brian Rodriguez,New James,37665,569,35284,12,25.0,False,27,Associate,Single
Jason Martin,Lozanofort,105914,638,16368,0,55.0,False,30,Associate,Married
Brandon Rodriguez,Hernandezland,126434,823,5918,6,95.0,True,57,Bachelor,Married
Maria Bryant,Josephton,101066,402,12449,2,45.0,False,60,Bachelor,Married
Heather Rhodes,Rodgersville,37989,346,1633,8,35.0,False,60,Bachelor,Married
Carolyn Howard,Friedmanview,128038,395,25420,21,55.0,False,29,Master,Married
James Rivers,Maryfort,71104,731,43522,10,60.0,True,57,Bachelor,Single
Michael Brown,North Robert,37492,794,38286,28,60.0,True,50,Master,Married
James Howard,Port Gabrielleberg,36572,794,32989,7,55.0,False,51,Associate,Married
Jessica Brown,Alexanderhaven,106569,529,44898,21,45.0,False,42,Bachelor,Married
Melissa Montgomery,Stanleybury,92493,793,23659,24,80.0,True,45,Doctorate,Married
Ronald Mcclain,North Dawnburgh,95909,817,31755,31,85.0,True,52,High School,Divorced
Angela Vasquez,West Tara,141767,351,34222,14,55.0,False,27,Bachelor,Married
Jamie Montoya,South Seanshire,99615,758,6768,31,90.0,True,45,Master,Married
Bryan Jimenez,North Richardton,50635,300,6956,38,45.0,False,59,Doctorate,Married
Marcia Wu,Lake Emily,37455,649,24812,3,30.0,False,64,High School,Married
Sarah Rivera,Moranstad,96562,763,8472,6,85.0,True,64,Master,Married
Courtney Peterson,Amystad,40500,408,4000,10,40.0,False,68,High School,Single
Rodney Newton MD,Cherylborough,141587,423,26748,13,55.0,False,41,Associate,Married
Richard Love,Port Robertshire,54356,426,30524,29,35.0,False,35,High School,Married
Tina Taylor,Smithton,38981,743,39346,30,60.0,True,28,Associate,Married
Priscilla Kent,Lake Lisa,107992,406,26389,38,55.0,False,29,Bachelor,Married
Erica Keith,Pettybury,38907,580,27074,21,40.0,False,49,Master,Widowed
Jodi Anderson,Morrisonhaven,118501,606,46973,35,65.0,True,61,Bachelor,Married
Michelle Walls,East Jason,142960,597,45997,22,65.0,True,23,Bachelor,Married
Brandi Page,New Amy,60828,630,47553,7,45.0,False,66,Associate,Single
Kristina Aguilar,Craigside,82923,592,28681,0,45.0,False,66,Bachelor,Divorced
Allison Thomas,East Josephburgh,45713,593,45786,16,40.0,False,44,High School,Divorced
Antonio Mueller,Port Amber,146691,667,30661,6,65.0,True,58,Bachelor,Single
Megan Hoffman,Lake Deborah,104668,698,16571,32,80.0,True,69,Bachelor,Single
Rebecca Roberts,South Paulmouth,62271,355,1849,16,50.0,False,69,Bachelor,Married
Sean Dalton,Greerstad,105880,501,48507,12,45.0,False,51,Associate,Married
Christopher Fleming,East Jill,107924,422,25720,2,45.0,False,68,Associate,Divorced
Justin Anderson,Adammouth,35209,458,3617,9,30.0,False,60,High School,Single
Linda Ayala,Tracyshire,111183,666,5776,20,75.0,True,32,Bachelor,Single
Tina Meyer,South Amy,40745,713,7025,22,60.0,True,27,Associate,Married
Daniel Rivera,Kellyhaven,84948,786,37787,0,60.0,True,53,Bachelor,Married
Gregory Allen,North Felicia,116163,628,25993,7,65.0,True,35,Bachelor,Single
Joshua Campbell,Williehaven,106503,756,32903,2,75.0,True,49,High School,Married
Matthew Flores,North Garyside,104085,846,1480,40,100.0,True,59,Bachelor,Married
Michael Ayala,Houstonborough,98522,850,47054,27,80.0,True,24,High School,Widowed
Teresa Burgess,North Stephen,71467,639,3482,5,60.0,True,25,High School,Married
Christopher King,New Lorraineview,64179,717,26430,28,60.0,True,35,Bachelor,Married
Jessica Smith,New Adamland,56772,346,46933,4,25.0,False,40,Associate,Single
Jonathan Roberts,Catherineport,117782,748,25996,25,90.0,True,69,Bachelor,Single
Amanda Moore,East Julie,123872,602,42552,9,60.0,True,56,Bachelor,Married
Stephen Sanford,Susantown,71180,444,9076,2,35.0,False,64,Master,Single
Kyle Medina,West Jasonstad,61285,516,28043,32,35.0,False,69,High School,Single
Clinton Jensen,Jamesburgh,64814,355,36969,29,35.0,False,26,Master,Married
Angel Powers,Coreyshire,81876,798,22682,22,80.0,True,58,Bachelor,Married
Matthew Garcia,East Louismouth,47154,636,41392,19,40.0,False,40,High School,Single
Brittany Knight,Susanburgh,118039,304,21526,15,55.0,False,42,High School,Divorced
Michelle Davidson,Maryberg,114607,639,32454,29,65.0,True,51,Master,Divorced
Raymond Tucker,East Debbieland,69321,587,10175,34,60.0,True,27,Bachelor,Single
Nicholas Sims,North Melissatown,89929,714,39668,13,65.0,True,49,Bachelor,Married
Kristen Stephens,Valdezberg,71441,674,26722,14,65.0,True,47,Master,Married
Leah Vincent,South Walter,128548,392,27003,23,55.0,False,36,Associate,Single
Mary Charles,Port Willie,39508,756,11434,11,65.0,True,54,Bachelor,Married
Krystal Brennan,Lake Jessica,31220,667,3648,14,50.0,False,34,Master,Married
Crystal Baker,North Elizabeth,90068,830,24674,24,85.0,True,68,Doctorate,Married
Jesse Williams,Dakotahaven,111416,580,49621,16,60.0,True,31,High School,Single
Laura Bennett,Diazland,103792,829,17487,24,95.0,True,34,High School,Single
Courtney Sullivan,Tommyfort,43104,306,33888,8,20.0,False,70,Bachelor,Single
David Robertson,Jasonburgh,39602,461,24738,38,25.0,False,62,Bachelor,Married
Bailey Hall,Jenniferfort,100468,790,32393,13,85.0,True,70,Bachelor,Married
Maria Jenkins,North David,57938,464,9829,40,45.0,False,58,Bachelor,Widowed
Stephanie Thomas,West Sandra,96307,829,27571,38,85.0,True,42,Master,Married
Marcia Johns,Staceyborough,64760,759,40749,30,70.0,True,31,Bachelor,Married
Carolyn Greer,Port Brandi,47361,486,41842,32,25.0,False,62,Associate,Single
Nathaniel Cooper,Carlsonland,75745,535,25786,24,45.0,False,25,Associate,Single
Alan Mills,Serranoville,145456,481,32186,39,55.0,False,51,Bachelor,Single
Sherry Schmidt,North Timothyberg,39016,301,45470,27,25.0,False,40,High School,Divorced
Jacqueline Williams,Perezfort,145247,690,23971,37,80.0,True,27,Bachelor,Married
Susan Hood,South Dennisfort,62018,538,6493,18,45.0,False,51,Bachelor,Widowed
Kimberly Scott,Lake Juliatown,78434,835,8722,33,90.0,True,69,Master,Married
Matthew Watts,Robertville,67353,458,28923,37,35.0,False,58,Bachelor,Married
Scott Henderson,Cherylfurt,50676,508,28081,35,35.0,False,52,Bachelor,Widowed
Karen Wood,Kingport,87433,652,47235,25,55.0,False,50,High School,Divorced
Sarah Hopkins,South Krista,139280,465,7571,13,60.0,True,43,Doctorate,Single
Rachel Owen,East Paultown,101200,393,10524,30,55.0,False,63,High School,Single
Bobby Johnson,Ariasfurt,122214,833,19774,38,95.0,True,50,Doctorate,Married
Raymond Thompson,Gonzalesborough,69651,830,19743,12,80.0,True,61,High School,Married
Kyle Black,New Gavin,110173,336,24575,15,55.0,False,40,Associate,Married
Vanessa Miller,Kimberlystad,135788,704,27571,37,80.0,True,65,Bachelor,Married
Adrian Padilla,New Justinside,115717,656,23772,17,70.0,True,63,Associate,Married
Victor Gibson,Andrewsview,99329,479,27681,32,45.0,False,57,Bachelor,Single
Benjamin Phillips,Port Williamview,31025,850,38676,16,65.0,True,68,Master,Widowed
Tracy Hart,Port Matthew,117538,769,45668,29,85.0,True,60,Master,Married
Shannon Olson,Carlosbury,137099,535,21691,26,55.0,False,59,Bachelor,Divorced
Kelli Smith,Johnland,102692,708,45151,21,70.0,True,41,Doctorate,Married
Timothy Woods,Jefferyshire,69240,575,12978,12,45.0,False,47,High School,Married
Mr. Nicolas Salas II,Port John,116951,664,11223,6,70.0,True,27,Associate,Married
Blake Sosa,Austinside,43577,343,32607,23,25.0,False,43,Master,Married
Katherine Galloway,Travishaven,145097,586,27075,14,70.0,True,69,Doctorate,Divorced
Bethany Fox,Mendozaside,47601,333,33930,22,25.0,False,27,Bachelor,Married
Michael Thompson,Lake Aprilmouth,64664,308,1774,13,50.0,False,45,High School,Married
Brian Ward,Jacobview,45129,542,18655,30,25.0,False,35,Associate,Married
Grace White,Clarkstad,146616,673,27253,17,80.0,True,34,High School,Single
Kenneth Krause,Port Cory,44029,576,16453,35,30.0,False,26,Associate,Married
James Thomas,South Linda,127310,480,28624,31,55.0,False,54,Bachelor,Divorced
Steven Mccoy,Kristenport,102512,556,37840,36,50.0,False,55,High School,Married
Brett Martin,Port Jonathan,50374,398,30481,21,35.0,False,61,High School,Married
Isaac Grant,Mauricechester,65697,424,24009,38,40.0,False,32,High School,Married
Kenneth Banks,Port Justin,66930,632,45118,32,50.0,False,61,Master,Single
Dr. Steve James,Stevenberg,109276,471,42981,21,50.0,False,50,High School,Married
Logan Sullivan,North Fernandobury,57607,621,21766,18,55.0,False,68,High School,Married
Lisa Foster,Normanstad,124058,833,30510,26,95.0,True,40,Bachelor,Married
Scott Martinez,Lake Johnathan,74942,381,14800,10,45.0,False,36,Bachelor,Married
Brendan Zuniga,Kelleytown,56685,706,35339,5,55.0,False,52,Master,Single
Luke Miller,Parkerbury,120111,590,30042,40,65.0,True,65,Master,Widowed
Joseph Jackson,Lake Michaelmouth,113130,787,31617,34,85.0,True,51,Bachelor,Married
Kimberly Taylor,New Carla,141792,745,35305,40,90.0,True,54,Bachelor,Widowed
Emily Reed,Port Christopher,64600,615,24971,26,55.0,False,34,Master,Single
Eric Smith,West Justin,96244,847,1545,31,95.0,True,38,High School,Married
Karen Smith,Yatesbury,94032,307,36927,23,45.0,False,45,Bachelor,Single
Stephen Kim,East Jennifer,62914,699,25796,14,60.0,True,55,Master,Single
Jay Allen,Justinside,148664,575,28060,12,55.0,False,70,High School,Married
Catherine Roberts,Williamsonview,149034,803,13306,20,100.0,True,54,High School,Married
Anthony Nichols,North Julian,140900,428,47871,28,50.0,False,36,Master,Divorced
Crystal Hernandez,Robinsonchester,36658,619,33662,23,40.0,False,23,Bachelor,Married
Rick Rivera,North Joseph,42097,701,5678,34,60.0,True,45,High School,Widowed
Corey Skinner,Claytonville,113136,554,26218,28,55.0,False,45,High School,Married
Zachary Gonzalez,New Elizabethborough,85518,784,26501,19,80.0,True,28,Master,Married
Caitlin Chandler,West Timothyport,138704,503,24620,3,45.0,False,31,High School,Single
Claudia Rodriguez,Nguyenburgh,66265,582,39318,7,45.0,False,52,Bachelor,Single
David Novak,Barkerberg,35778,680,6864,15,60.0,True,67,Bachelor,Married
Brandon Montgomery,North Michaelberg,30464,849,8038,8,65.0,True,27,High School,Single
Eugene Grant DDS,Lindamouth,73719,497,2399,24,50.0,False,31,Bachelor,Married
Chad Roach,Mannside,131072,601,36568,31,65.0,True,55,Bachelor,Married
Cody Bailey,Hillside,47146,464,5513,33,35.0,False,37,Associate,Single
Edward Baker,Shawnhaven,113507,688,49080,11,70.0,True,48,Bachelor,Married
Lisa Diaz,West Jennifer,64335,696,13443,33,70.0,True,26,High School,Divorced
Pamela Moore,Marcusmouth,51178,413,7308,33,45.0,False,60,Bachelor,Married
Amanda Pace,Port Anthony,127154,409,32809,12,50.0,False,58,High School,Single
Kenneth Huff,Foxshire,87912,562,4216,23,55.0,False,49,High School,Married
Mitchell Smith,Lake Travis,102309,381,31674,40,50.0,False,58,Bachelor,Married
Justin Hurley,Shortton,122493,572,35669,2,40.0,False,27,Bachelor,Married
Sandra Miller,New Colton,86057,536,35842,24,40.0,False,55,Bachelor,Married
Joseph Wright,New Kara,103519,725,49896,6,65.0,True,54,Bachelor,Married
Laura Craig,Andradeburgh,31267,484,37042,25,25.0,False,52,High School,Married
Mary Ferguson,Mahoneymouth,44663,632,25361,26,40.0,False,45,Associate,Single
Jessica Swanson,New Amy,39862,684,37060,16,50.0,False,26,Associate,Married
Jesse Moyer,Lake Austinport,145750,316,34922,8,50.0,False,62,High School,Married
Elizabeth Evans MD,Andrewview,120573,823,37459,36,90.0,True,70,Associate,Single
Brittney Johnson,Ericview,148479,675,39152,15,75.0,True,56,Associate,Married
Robert Davis,Carrollborough,49536,379,48420,20,25.0,False,65,Bachelor,Married
Carrie Petersen,New Dawnton,101511,690,6143,3,75.0,True,62,High School,Single
Felicia Hobbs,Butlerville,34722,532,49999,38,25.0,False,67,Bachelor,Married
Madison Chen,West Alicemouth,139392,453,22419,32,55.0,False,40,High School,Married
Brittany Nunez,Maddoxshire,78393,816,6903,14,95.0,True,24,Associate,Married
Richard Hernandez,Christophershire,106350,350,36923,25,50.0,False,47,Doctorate,Married
James Hamilton,Port Dennis,102420,502,32972,25,50.0,False,38,High School,Married
Christina Gilbert,East Charles,49410,740,22195,36,60.0,True,40,Associate,Married
Michael Henderson,Jamesstad,86333,324,20976,10,50.0,False,63,Associate,Single
Lisa Branch MD,South Brady,46704,539,14086,23,30.0,False,45,Bachelor,Married
Nicholas Miller,East Stacyberg,35482,594,1900,21,55.0,False,50,Master,Married
Ashley Cole,West Jasonside,70404,516,14356,34,45.0,False,33,Bachelor,Married
Deanna Webb,Lake Holly,77795,318,25681,37,45.0,False,55,Associate,Single
Kelsey Scott,West Jamesview,147831,354,31471,0,40.0,False,49,High School,Married
Matthew Alvarado,Michelletown,134349,599,43559,24,65.0,True,33,Bachelor,Married
James Bray,West Toddside,142814,390,13217,12,60.0,True,27,Associate,Single
Judith House,North Johnhaven,35229,612,22860,31,40.0,False,50,Bachelor,Married
Christopher Reed,Michaelport,147823,541,33850,17,55.0,False,66,Bachelor,Married
Lori Johns,New Stacybury,76898,455,23399,25,45.0,False,68,Master,Married
Anita Reyes,South John,57535,456,28948,19,35.0,False,49,Associate,Widowed
Erin Daniels,Lake Dillon,119399,507,10051,19,60.0,True,25,High School,Married
Stephanie Browning,Forbesberg,62706,461,21807,4,30.0,False,45,Bachelor,Married
Tiffany Wilson,Maryberg,117416,330,21885,26,55.0,False,32,Doctorate,Single
Elizabeth Reese,Edwinborough,43473,409,9620,11,35.0,False,60,Bachelor,Married
William Jensen,New Jesse,76357,326,24544,5,40.0,False,30,High School,Married
Karen Shaw,Josephstad,132251,488,26392,31,55.0,False,45,Associate,Divorced
Christopher Perez,Durantown,103385,576,28069,14,50.0,False,24,Bachelor,Married
Virginia Todd,East Saramouth,145885,801,46079,20,90.0,True,45,Associate,Married
Stacy Patterson,New Jillfurt,144650,620,26831,39,70.0,True,58,High School,Married
Laura Herrera,New Danielmouth,83264,343,17103,33,50.0,False,42,Bachelor,Single
Victoria Williams,Blackton,111351,494,20082,28,55.0,False,29,High School,Single
Eric Carey,Jacksonport,128235,355,46216,33,50.0,False,55,Associate,Married
Julie Lucas,Lake Vincentburgh,50257,438,26760,26,35.0,False,38,Bachelor,Married
Alexander Chavez,South Christopher,61029,631,46332,10,50.0,False,35,Doctorate,Single
Becky Wilson,Waltersland,143325,836,47352,24,90.0,True,53,High School,Single
Vanessa Salazar,South Andrea,51299,344,12199,21,45.0,False,26,Bachelor,Divorced
Mary Hernandez,East Kayla,134842,352,28497,19,55.0,False,50,Doctorate,Divorced
Randy Griffin,North Rachel,136269,507,1231,39,60.0,True,42,Bachelor,Married
Alexandria Jimenez,Stephenstown,53206,805,16589,13,80.0,True,57,Bachelor,Divorced
Karen Ortiz,New Carolbury,145528,584,41616,40,65.0,True,32,Bachelor,Divorced
Samantha Williams,North Denise,84040,337,10527,2,40.0,False,62,High School,Married
Sara Evans,North Danielburgh,33248,465,45046,18,25.0,False,36,High School,Single
Melissa Larson,South Kara,53509,668,3348,5,60.0,True,30,High School,Married
Erica Merritt,Port Ronaldside,126542,366,20191,30,55.0,False,45,Bachelor,Married
Michael Hill,Warrenborough,73540,359,8163,36,45.0,False,57,High School,Divorced
Lori Benitez,Ramseyport,132548,737,40901,20,75.0,True,26,Associate,Widowed
Kenneth Hanson,New Anna,83964,832,48787,40,80.0,True,68,Bachelor,Married
Dr. Stephen Hall IV,North David,135150,776,41990,7,80.0,True,48,Master,Single
Christine Gilbert,Gutierrezmouth,117806,658,37727,40,65.0,True,42,Bachelor,Married
Martin Vaughn,Kristyport,143254,607,34206,35,70.0,True,65,Bachelor,Single
Aaron Jennings,Randyshire,126345,329,12510,12,60.0,True,57,Bachelor,Single
George Chambers,Roblesberg,136266,793,11183,40,95.0,True,30,Bachelor,Divorced
Sean Huang,Bowerschester,62527,357,35149,19,35.0,False,25,Master,Married
Megan Peters,East Barbaramouth,64970,662,5339,9,60.0,True,41,High School,Married
Andre Terrell,New Catherine,50866,491,40006,7,30.0,False,67,High School,Divorced
Nicole Thornton,Jenniferview,133202,723,6688,31,85.0,True,55,Master,Divorced
Jacqueline Gallegos,Javierport,121917,479,8355,23,60.0,True,38,High School,Widowed
Paula Gentry,Hunterfort,44168,812,11097,12,70.0,True,39,High School,Married
John Russo,Kimberlyberg,80140,400,34826,8,35.0,False,56,High School,Married
Andrew Hughes,North Larryton,144316,389,22842,29,55.0,False,59,Master,Single
Ashley Miranda,Andrewport,35075,514,22029,12,25.0,False,64,Bachelor,Divorced
Donald Flores,Lambertview,142537,452,11321,17,60.0,True,43,Master,Married
Tyler Castro,East Amyside,91694,626,18763,9,60.0,True,23,High School,Divorced
Regina Andrews,North Larry,59154,646,36427,28,50.0,False,58,Associate,Single
Allen Berger,North Patrickland,56158,736,26684,11,60.0,True,58,Bachelor,Married
Stephanie Soto,Jensenport,137031,640,13985,34,70.0,True,53,Master,Married
Thomas Duran,North Lisa,90332,779,7374,29,90.0,True,63,Doctorate,Married
Matthew Miranda,Hallbury,75830,447,41431,16,40.0,False,65,Bachelor,Married
Jenna Lyons,Kristinamouth,70001,764,32949,1,55.0,False,66,High School,Married
Brian Mendoza,West Katrina,137549,430,34288,6,50.0,False,52,Bachelor,Married
Miguel Rodriguez,Port Kevinmouth,134247,710,39701,26,75.0,True,31,Associate,Married
David Moore,Reyesmouth,144206,513,46485,37,50.0,False,68,Doctorate,Married
William Bradley,Amybury,59831,477,44424,4,25.0,False,47,High School,Married
Michelle Copeland,New Caitlinmouth,59219,399,30177,11,35.0,False,57,High School,Single
Jared George,Murphyton,33101,392,15261,8,20.0,False,29,Associate,Single
Stephanie Fields,Port Dwayneberg,116511,763,35816,18,85.0,True,28,High School,Divorced
Kenneth Gonzalez,Kevinport,55313,745,48041,22,70.0,True,61,Bachelor,Widowed
Lauren Carr DDS,Port Kelly,82227,678,36971,3,55.0,False,32,Master,Divorced
Justin Irwin,Port Juliantown,73025,540,29292,37,35.0,False,68,Associate,Married
Evan Reyes,Grahamborough,66517,477,32121,8,30.0,False,53,Doctorate,Married
James Middleton,Mooreberg,143292,437,1760,4,50.0,False,41,Bachelor,Single
Brianna Dyer,Proctorberg,39099,386,9992,26,30.0,False,47,Bachelor,Widowed
Stephanie Dominguez,Hansonmouth,131361,821,28795,35,95.0,True,35,Bachelor,Single
Janice Perez,Jacobsshire,66585,810,48901,15,75.0,True,40,Bachelor,Divorced
Debra House,Arthurton,76025,794,47195,23,75.0,True,63,Bachelor,Single
John Vaughn,Lake Jessica,114080,586,31470,33,65.0,True,22,Master,Married
Steve Davis,Mccoyland,96768,619,41176,3,45.0,False,38,Bachelor,Married
Kimberly Smith,Huntfort,82386,639,28591,22,60.0,True,45,High School,Single
Thomas Curry,Bryanfort,119065,473,38542,3,40.0,False,57,High School,Married
Dorothy Mclaughlin,West Toddberg,140580,817,6037,17,100.0,True,26,Associate,Married
Luis Hill,Alexisville,100282,478,39782,9,45.0,False,57,Associate,Widowed
Jacqueline Thompson,South Henry,73404,840,3168,21,90.0,True,65,Bachelor,Single
Dr. Linda Underwood,Mullinschester,33617,692,16594,28,50.0,False,28,Associate,Married
Carol Lane,Brianview,45118,418,4442,10,40.0,False,43,Bachelor,Married
John Alvarez,South Frances,144955,699,32102,16,80.0,True,31,High School,Married
Seth Smith,Reyesmouth,64237,842,45752,2,65.0,True,54,High School,Single
Joseph Gomez,Bishopview,53405,643,18716,17,55.0,False,67,Associate,Married
Dawn Silva,Mejiabury,106099,499,35075,21,50.0,False,51,High School,Divorced
Wendy Edwards,Lake Alanland,64795,312,27951,6,30.0,False,30,Associate,Married
Melissa Bell,Johnathanton,35014,324,41592,5,20.0,False,32,Associate,Married
Kristopher Shannon,New Danielle,44208,422,6661,38,35.0,False,41,Bachelor,Married
Matthew Yoder,North Heather,108193,559,20304,29,55.0,False,54,Bachelor,Married
Angela Chavez,Kaylamouth,86959,563,11614,4,40.0,False,41,Bachelor,Single
Antonio Price,West Stephanieview,75309,482,29873,4,35.0,False,43,Bachelor,Widowed
Timothy Bishop Jr.,Rodriguezside,125491,741,15312,39,90.0,True,59,Associate,Divorced
Susan Baldwin,North Charlesshire,133078,556,30221,1,40.0,False,66,Bachelor,Married
Brittany Bowman,Lake Peterberg,71114,637,26646,36,55.0,False,38,Doctorate,Married
Michael Wise,Grahamland,87199,531,1216,24,55.0,False,59,Bachelor,Married
Sabrina Olson,Mathewport,109457,710,4617,40,85.0,True,59,Bachelor,Married
Maria Diaz DVM,Christophermouth,97033,596,43453,12,55.0,False,68,Bachelor,Divorced
Andrew Cruz,West Heather,45157,409,42328,22,25.0,False,31,Master,Single
Dr. Jeffrey Lopez,East Anthonyshire,80488,544,33062,24,40.0,False,58,Master,Single
Joshua Parker,Levytown,147899,337,23235,3,45.0,False,23,Bachelor,Married
Nathan Sullivan,Port Desiree,105574,835,31039,34,90.0,True,48,Bachelor,Married
Kerry Buckley,Lake Donaldtown,54914,782,41525,2,60.0,True,61,Master,Divorced
Matthew Smith,West Loriville,63386,767,41057,10,70.0,True,69,Bachelor,Married
Amy Roth,South Brookebury,35817,364,14280,27,30.0,False,55,High School,Married
Russell Rojas,Nguyenshire,122901,440,22075,13,55.0,False,64,Bachelor,Married
Leslie Rogers,West Donaldchester,87154,472,46632,23,40.0,False,33,Bachelor,Married
Jessica Frost,East Craigfurt,30221,461,2024,31,40.0,False,56,Associate,Married
Adam Howe,Robertfort,98146,429,14510,9,45.0,False,68,Bachelor,Divorced
Kelly Jenkins,New Heather,135710,484,48002,31,50.0,False,38,Bachelor,Single
Anita Serrano,Michaeltown,100575,541,13576,7,50.0,False,37,Associate,Single
Dr. Lisa Huffman,South Kaylee,120027,513,19115,3,45.0,False,41,Bachelor,Married
Robert Jennings,Jimenezburgh,124297,344,4540,23,60.0,True,66,Bachelor,Married
Jeffrey Cook,Williamston,127248,850,12526,10,100.0,True,44,Bachelor,Divorced
Karina Wilson,Lake Sean,126605,633,28463,12,70.0,True,68,Associate,Single
